,track_id,track_name,track_popularity,artist_id,artist_name,album_id,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
253,67pNalHivsFuW2Kcd2vS7A,Só Mais uma Noite,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.473,0.85,4,-7.602,0,0.393,0.0311,0.0,0.0658,0.895,126.538,189520,5
254,1oO9SDF8DP30r0opnyesYW,Um Final de Semana,24,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.705,0.46,0,-9.396,0,0.293,0.0546,0.0,0.172,0.433,88.954,172733,4
255,669EOlOmIu0bLlJ9EKEFfO,Essa É Pra Você Primo,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.812,0.707,1,-5.2,1,0.338,0.326,0.0,0.262,0.483,93.314,227827,4
256,3rXRrdh43uzgmO95GhZTiH,Avuá,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,2JIZcMjZxgLpPhsBaVksiW,Avuá,0.683,0.812,7,-5.115,0,0.39,0.216,0.0,0.115,0.268,127.829,492187,4
257,3njVe1xxVf8LLzIbHYgUbJ,Viva! (Melo dos Vileiro),28,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.797,0.895,11,-4.849,0,0.353,0.1,0.0,0.238,0.939,81.978,195613,4
258,66nm77ff6ft4sZ7bG5RtDc,Santa Cruz,24,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.545,0.618,10,-9.152,0,0.445,0.0652,1.17e-06,0.685,0.721,86.701,223027,4
259,78NuDNTPOSawuaBrcg7Vqe,Selvagem,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,4B3wPgCMLWIERh9QfGaYag,Selvagem,0.738,0.63,11,-8.083,0,0.372,0.18,0.0,0.726,0.359,133.889,264773,4
260,3dHGvbOKarhoCCnO0agLOU,E Agora?,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.554,0.649,7,-8.342,1,0.503,0.00448,0.0,0.213,0.664,178.383,200067,4
261,3YEu2zvGsP1j30P7MdM8Uk,Licença Aqui,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.562,0.729,2,-4.818,1,0.351,0.0855,0.0,0.0668,0.64,121.376,226440,4
262,3PNPGfkDqzjE8vykLzwJDk,Soldado Sem Bandeira,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.794,0.665,10,-9.027,0,0.414,0.146,1.96e-06,0.151,0.576,173.988,209707,4
263,7ud6onCRZu5rUb0MUZoFhX,Emicidio,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.654,0.749,3,-8.47,0,0.31,0.0588,0.0,0.505,0.84,89.254,204507,4
264,4yN4ZPyoC6xAGMV5kL1zQ6,Hey Rap!,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.647,0.765,6,-6.569,1,0.34,0.0304,0.0,0.331,0.824,90.822,127453,4
265,3KbDMWpZCNscdAq7ea2iNW,Pra Não Ter Tempo Ruim,28,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.729,0.672,5,-10.834,0,0.159,0.296,0.0,0.203,0.926,175.858,197747,4
266,047meJmEnLUrFVnz7DTuDx,Vai Ser Rimando,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.711,0.706,0,-8.862,1,0.322,0.582,0.0,0.428,0.91,169.92,203307,4
267,6VRxAU85cQfxPjVvJQwiGl,Num Vejo a Hora,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,36hxSCqB8A4hpUxhrH9zbZ,Sua Mina Ouve Meu Rep Tamem,0.74,0.503,5,-9.014,1,0.382,0.505,0.0,0.0675,0.469,87.85,196347,4
268,0jy5rowvJT5t6GQcyU7Md1,Cacariacô,25,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.548,0.671,7,-6.333,1,0.351,0.233,0.0,0.375,0.612,169.897,156400,3
269,7peVT3FS4rLm0LAFmu6sig,1989,24,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.737,0.813,1,-5.695,1,0.267,0.198,0.0,0.399,0.537,90.014,176147,4
